2025-07-14 13:52:05	INFO		Imported offer with ID 49223
2025-07-14 13:52:05	INFO		Imported offer with ID 41280
2025-07-14 13:52:05	INFO		Imported offer with ID 50574
2025-07-14 13:52:06	INFO		Imported offer with ID 105
2025-07-14 13:52:06	INFO		Imported offer with ID 40905
2025-07-14 13:52:06	INFO		Imported offer with ID 40904
2025-07-14 13:52:06	INFO		Imported offer with ID 49168
2025-07-14 13:52:06	INFO		Imported offer with ID 5754
2025-07-14 13:52:06	INFO		Imported offer with ID 5755
2025-07-14 13:52:06	INFO		Imported offer with ID 50935
2025-07-14 13:52:06	INFO		Imported offer with ID 49221
2025-07-14 13:52:06	INFO		Imported offer with ID 49224
2025-07-14 13:52:06	INFO		Imported offer with ID 2131
2025-07-14 13:52:06	INFO		Imported offer with ID 49219
2025-07-14 13:52:06	INFO		Imported offer with ID 2135
2025-07-14 13:52:06	INFO		Imported offer with ID 346
2025-07-14 13:52:06	INFO		Imported offer with ID 40278
2025-07-14 13:52:06	INFO		Imported offer with ID 29772
2025-07-14 13:52:06	INFO	Successfully imported 76 offers.
2025-07-14 13:52:06	INFO	Deleting offers which were not updated...
2025-07-14 13:52:06	INFO		Deleted offer with ID 95
2025-07-14 13:52:06	INFO		Deleted offer with ID 155
2025-07-14 13:52:06	INFO		Deleted offer with ID 590
2025-07-14 13:52:06	INFO		Deleted offer with ID 735
2025-07-14 13:52:06	INFO		Deleted offer with ID 1183
2025-07-14 13:52:06	INFO		Deleted offer with ID 1196
2025-07-14 13:52:06	INFO		Deleted offer with ID 1197
2025-07-14 13:52:06	INFO		Deleted offer with ID 1204
2025-07-14 13:52:06	INFO		Deleted offer with ID 1213
2025-07-14 13:52:06	INFO		Deleted offer with ID 1214
2025-07-14 13:52:06	INFO		Deleted offer with ID 1215
2025-07-14 13:52:06	INFO		Deleted offer with ID 1217
2025-07-14 13:52:06	INFO		Deleted offer with ID 1427
2025-07-14 13:52:06	INFO		Deleted offer with ID 1999
2025-07-14 13:52:06	INFO		Deleted offer with ID 2004
2025-07-14 13:52:06	INFO		Deleted offer with ID 2033
2025-07-14 13:52:06	INFO		Deleted offer with ID 2091
2025-07-14 13:52:06	INFO		Deleted offer with ID 2092
2025-07-14 13:52:06	INFO		Deleted offer with ID 2094
2025-07-14 13:52:06	INFO		Deleted offer with ID 2095
2025-07-14 13:52:06	INFO		Deleted offer with ID 2100
2025-07-14 13:52:06	INFO		Deleted offer with ID 2254
2025-07-14 13:52:06	INFO		Deleted offer with ID 2259
2025-07-14 13:52:06	INFO		Deleted offer with ID 2264
